SecurityID,Date,Time,SecurityIDSource,SecurityType,Index,SourceType,Type,Price,Qty,BSFlag,BuyNo,SellNo,ApplSeqNum,ChannelNo
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,1,0,2,17400,171400,1,0,0,1,2013
002694.SZ,2022.01.10,09:15:00.000,XSHE,StockType,3,0,2,72200,400,1,0,0,3,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,5,0,2,17400,496600,1,0,0,5,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,8,0,2,17400,490000,1,0,0,8,2013
300057.SZ,2022.01.10,09:15:00.000,XSHE,StockType,10,0,2,109700,299700,1,0,0,10,2013
002694.SZ,2022.01.10,09:15:00.000,XSHE,StockType,11,0,2,72200,800,1,0,0,11,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,16,0,2,17400,370000,1,0,0,16,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,17,0,2,17400,172100,1,0,0,17,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,19,0,2,16000,100,1,0,0,19,2013
002694.SZ,2022.01.10,09:15:00.000,XSHE,StockType,27,0,2,72200,69300,1,0,0,27,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,31,0,2,17400,495500,1,0,0,31,2013
300057.SZ,2022.01.10,09:15:00.000,XSHE,StockType,37,0,2,109700,299600,1,0,0,37,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,38,0,2,17400,486900,1,0,0,38,2013
002694.SZ,2022.01.10,09:15:00.000,XSHE,StockType,42,0,2,72200,500,1,0,0,42,2013
002694.SZ,2022.01.10,09:15:00.000,XSHE,StockType,50,0,2,72200,686600,1,0,0,50,2013
000587.SZ,2022.01.10,09:15:00.000,XSHE,StockType,53,0,2,17400,57700,1,0,0,53,2013
300593.SZ,2022.01.10,09:15:00.000,XSHE,StockType,55,0,2,500000,6000,2,0,0,55,2013
301035.SZ,2022.01.10,09:15:00.000,XSHE,StockType,59,0,2,720500,300,1,0,0,59,2013
